"KEYWORD";"LANG";"CATEGORY"
"pizza";"en";"food"
"coffee";"en";"food"
"cafe";"en";"food"
"restaurant";"en";"food"
"pub";"en";"food"
"accounting";"en";"google"
"airport";"en";"google"
"amusement park";"en";"google"
"aquarium";"en";"google"
"art gallery";"en";"google"
"atm";"en";"google"
"bakery";"en";"google"
"bank";"en";"google"
"bar";"en";"google"
"beauty salon";"en";"google"
"bicycle store";"en";"google"
"book store";"en";"google"
"bowling alley";"en";"google"
"bus station";"en";"google"
"cafe";"en";"google"
"campground";"en";"google"
"car dealer";"en";"google"
"car rental";"en";"google"
"car repair";"en";"google"
"car wash";"en";"google"
"casino";"en";"google"
"cemetery";"en";"google"
"church";"en";"google"
"city hall";"en";"google"
"clothing store";"en";"google"
"convenience store";"en";"google"
"courthouse";"en";"google"
"dentist";"en";"google"
"department store";"en";"google"
"doctor";"en";"google"
"electrician";"en";"google"
"electronics store";"en";"google"
"embassy";"en";"google"
"establishment";"en";"google"
"finance";"en";"google"
"fire station";"en";"google"
"florist";"en";"google"
"food";"en";"google"
"funeral home";"en";"google"
"furniture store";"en";"google"
"gas station";"en";"google"
"petrol station";"en";"google"
"general contractor";"en";"google"
"grocery";"en";"google"
"supermarket";"en";"google"
"gym";"en";"google"
"hair care";"en";"google"
"hardware store";"en";"google"
"health";"en";"google"
"hindu temple";"en";"google"
"home goods store";"en";"google"
"hospital";"en";"google"
"insurance agency";"en";"google"
"jewelry store";"en";"google"
"laundry";"en";"google"
"lawyer";"en";"google"
"library";"en";"google"
"liquor store";"en";"google"
"local government office";"en";"google"
"locksmith";"en";"google"
"lodging";"en";"google"
"meal delivery";"en";"google"
"meal takeaway";"en";"google"
"mosque";"en";"google"
"movie rental";"en";"google"
"movie theater";"en";"google"
"moving company";"en";"google"
"museum";"en";"google"
"night club";"en";"google"
"painter";"en";"google"
"park";"en";"google"
"parking";"en";"google"
"pet store";"en";"google"
"pharmacy";"en";"google"
"physiotherapist";"en";"google"
"place of worship";"en";"google"
"plumber";"en";"google"
"police";"en";"google"
"post office";"en";"google"
"real estate agency";"en";"google"
"restaurant";"en";"google"
"roofing contractor";"en";"google"
"rv park";"en";"google"
"school";"en";"google"
"shoe store";"en";"google"
"shopping mall";"en";"google"
"spa";"en";"google"
"stadium";"en";"google"
"storage";"en";"google"
"store";"en";"google"
"subway station";"en";"google"
"synagogue";"en";"google"
"taxi stand";"en";"google"
"train station";"en";"google"
"transit station";"en";"google"
"travel agency";"en";"google"
"university";"en";"google"
"veterinary care";"en";"google"
"zoo";"en";"google"
"";"en";"google"
